city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,month,dayofweek,is_weekend,num_stations,ev_level2_ports,ev_dc_fast_ports,connector_types,total_points,avg_power_kw,n_sites,daily_sessions
Davis,2023-01-01,11.1,7.0,14.0,0.0,,,25.1,,1011.0,,1,6,1,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,14.0
Davis,2023-01-02,6.0,3.0,8.0,13.6,,,5.5,,1013.3,,1,0,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.4
Davis,2023-01-03,5.8,4.0,7.0,0.4,,,9.4,,1016.9,,1,1,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,10.9
Davis,2023-01-04,10.0,6.0,15.0,28.8,,,21.5,,1009.0,,1,2,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.0
Davis,2023-01-05,10.7,8.0,12.0,35.6,,,16.4,,1011.7,,1,3,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.0
Davis,2023-01-06,10.2,8.0,15.0,0.3,,,8.3,,1023.5,,1,4,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,10.7
Davis,2023-01-07,9.7,8.5,11.1,17.3,,,15.9,,1016.3,,1,5,1,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.1
Davis,2023-01-08,11.3,8.7,15.0,15.3,,,20.1,,1015.0,,1,6,1,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.4
Davis,2023-01-09,12.2,8.0,15.0,29.2,,,15.8,,1007.8,,1,0,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.0
Davis,2023-01-10,10.5,9.0,12.0,13.5,,,19.8,,1008.9,,1,1,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.6
Davis,2023-01-11,9.8,9.0,12.0,12.9,,,19.1,,1020.0,,1,2,0,10,24,1,"CHADEMO,J1772,NEMA520",16.0,23.5921568627451,51,1.6
