id,station_name,city,state,zip,latitude,longitude,ev_connector_types,ev_network,ev_dc_fast_num,ev_level1_evse_num,ev_level2_evse_num,date_last_confirmed
1523,Los Angeles Convention Center,Los Angeles,CA,90015,34.040539,-118.271387,J1772,Non-Networked,0,0,7,2023-01-10
6355,Scripps Green Hospital,La Jolla,CA,92037,32.89947,-117.243,J1772,Non-Networked,0,0,1,2024-08-15
6405,Galpin Motors,Sepulveda,CA,91343,34.221665,-118.468371,J1772,Non-Networked,0,0,2,2025-06-06
6425,Galleria at Tyler,Riverside,CA,92503,33.909914,-117.459053,J1772,Non-Networked,0,0,4,2023-09-14
6505,City of Pasadena - Holly Street Garage,Pasadena,CA,91103,34.14762,-118.147111,J1772,Non-Networked,0,0,26,2025-06-06
6506,City of Pasadena - De Lacey Garage,Pasadena,CA,91105,34.145138,-118.152655,J1772,Non-Networked,0,0,3,2025-06-06
6507,City of Pasadena - Schoolhouse Garage,Pasadena,CA,91105,34.145119,-118.150133,J1772,Non-Networked,0,0,3,2025-06-06
6509,Bristol Farms,South Pasadena,CA,91030,34.118433,-118.149597,,Non-Networked,0,0,0,2023-05-03
7172,Hyatt Regency Long Beach,Long Beach,CA,90802,33.7637,-118.192,J1772,Non-Networked,0,0,1,2025-06-06
7184,Los Angeles International Airport (LAX) - Lot 6,Los Angeles,CA,90045,33.94325,-118.403342,J1772,Non-Networked,0,0,20,2024-08-15
7192,Northridge Fashion Center East Garage Lower Level,Northridge,CA,91324,34.238716,-118.554686,J1772,SHELL_RECHARGE,0,0,5,2025-10-13
7195,Courtyard Marriott - Oxnard Ventura,Oxnard,CA,93030,34.228315,-119.170865,J1772,Non-Networked,0,0,1,2025-06-06
7196,Hilton - Palm Springs,Palm Springs,CA,92262,33.824004,-116.543589,J1772,Non-Networked,0,0,2,2025-06-06
7206,Inland Empire Foods,Riverside,CA,92509,34.0189,-117.38,"J1772,TESLA",Non-Networked,0,0,4,2025-06-06
7212,Sacramento International Airport - Daily A Lot,Sacramento,CA,95837,38.69005,-121.58889,J1772,Non-Networked,0,0,4,2025-06-06
7229,City of Santa Monica - Airport,Santa Monica,CA,90405,34.017081,-118.44704,J1772,Non-Networked,0,0,2,2023-01-10
7230,City of Santa Monica - Pier,Santa Monica,CA,90405,34.010021,-118.49583,J1772,Non-Networked,0,0,3,2023-01-10
7233,Westfield Parking Garage 1st Floor,Sherman Oaks,CA,91423,34.156407,-118.438965,J1772,SHELL_RECHARGE,0,0,2,2025-10-13
7242,Universal City Hilton,Universal City,CA,91608,34.13722,-118.35835,"J1772,NEMA520",Non-Networked,0,1,10,2024-07-11
7250,Office Max - Home Depot,Downey,CA,90241,33.94756,-118.153806,J1772,Non-Networked,0,0,4,2024-07-11
7280,Hyatt at Fisherman's Wharf,San Francisco,CA,94133,37.80619,-122.4152,J1772,Non-Networked,0,0,1,2025-06-06
7286,Arden Fair Mall,Sacramento,CA,95815,38.599693,-121.427045,J1772,Non-Networked,0,0,4,2025-06-06
21358,Palace Hotel,San Francisco,CA,94105,37.78881,-122.401,J1772,Non-Networked,0,0,2,2025-05-12
21360,Mark Hopkins InterContinental Hotel,San Francisco,CA,94108,37.791791,-122.411265,J1772,Non-Networked,0,0,1,2024-08-15
21395,California State University - Northridge,Northridge,CA,91330,34.248959,-118.523887,J1772,Non-Networked,0,0,2,2023-10-12
21396,California State University - Northridge,Northridge,CA,91330,34.241687,-118.528543,J1772,Non-Networked,0,0,2,2023-10-12
21397,California State University - Northridge,Northridge,CA,91330,34.236853,-118.532588,J1772,Non-Networked,0,0,4,2023-10-12
21402,Los Angeles Harbor Department Headquarters,San Pedro,CA,90731,33.740758,-118.28192,J1772,Non-Networked,0,0,4,2024-07-11
21419,Getty Center,Los Angeles,CA,90049,34.077588,-118.474585,"J1772,NEMA520",Non-Networked,0,12,15,2025-05-12
21450,LA County DPR Arboretum,Arcadia,CA,91007,34.145528,-118.050548,J1772,POWERFLEX,0,0,3,2025-05-12
21524,DoubleTree Hotel - Los Angeles - Westside,Culver City,CA,90230,33.9826,-118.3966,J1772,Non-Networked,0,0,2,2023-06-12
21525,Helms Bakery Building,Los Angeles,CA,90034,34.029971,-118.385231,J1772,Non-Networked,0,0,6,2023-06-12
21535,Westfield MainPlace Mall,Santa Ana,CA,92705,33.777054,-117.870566,J1772,Non-Networked,0,0,8,2024-07-11
21559,California State University - Channel Islands,Camarillo,CA,93012,34.16657601660278,-119.045854662704,J1772,Non-Networked,0,0,5,2025-06-06
21561,Brea Downtown Parking,Brea,CA,92821,33.919899,-117.898618,J1772,Non-Networked,0,0,4,2023-07-11
21565,Home Depot,Newbury Park,CA,91320,34.192178,-118.934793,"J1772,NEMA515",Non-Networked,0,4,2,2025-10-13
21566,Lake Casitas Municipal Water District - Recreational Area,Oak View,CA,93022,34.418322,-119.3368,J1772,Non-Networked,0,0,1,2024-07-11
21569,San Dimas Park & Ride,San Dimas,CA,91773,34.105275,-117.809208,J1772,Non-Networked,0,0,2,2023-08-10
21606,Ventura County Government Center,Ventura,CA,93009,34.267352,-119.2124,J1772,Non-Networked,0,0,3,2023-10-12
21607,Ventura County Air Pollution Control District,Ventura,CA,93003,34.268756,-119.2154,J1772,Non-Networked,0,0,3,2024-05-09
21673,University of California - Davis Extension - Lot 80,Davis,CA,95616,38.539336,-121.732405,"J1772,NEMA520",Non-Networked,0,1,3,2023-01-10
25491,Fair Oaks - Orangevale - Community Library,Fair Oaks,CA,95628,38.66292,-121.2634,J1772,Non-Networked,0,0,2,2024-08-15
25494,Sutter Galleria Mall - University of California - Davis Extension,Sacramento,CA,95816,38.57277,-121.467902,"J1772,NEMA520",Non-Networked,0,1,2,2023-10-12
25497,North Highlands Library,Antelope,CA,95843,38.7042,-121.365,J1772,Non-Networked,0,0,1,2025-06-06
25501,University of California - Davis - Medical Center,Sacramento,CA,95817,38.552483,-121.4487,J1772,Non-Networked,0,0,2,2023-10-12
