city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Davis,2023-01-01,11.1,7.0,14.0,0.0,,,25.1,,1011.0,
Davis,2023-01-02,6.0,3.0,8.0,13.6,,,5.5,,1013.3,
Davis,2023-01-03,5.8,4.0,7.0,0.4,,,9.4,,1016.9,
Davis,2023-01-04,10.0,6.0,15.0,28.8,,,21.5,,1009.0,
Davis,2023-01-05,10.7,8.0,12.0,35.6,,,16.4,,1011.7,
Davis,2023-01-06,10.2,8.0,15.0,0.3,,,8.3,,1023.5,
Davis,2023-01-07,9.7,8.5,11.1,17.3,,,15.9,,1016.3,
Davis,2023-01-08,11.3,8.7,15.0,15.3,,,20.1,,1015.0,
Davis,2023-01-09,12.2,8.0,15.0,29.2,,,15.8,,1007.8,
Davis,2023-01-10,10.5,9.0,12.0,13.5,,,19.8,,1008.9,
Davis,2023-01-11,9.8,9.0,12.0,12.9,,,19.1,,1020.0,
Davis,2023-01-12,12.6,9.0,16.0,0.0,,,5.2,,1020.2,
Davis,2023-01-13,11.4,10.0,12.0,19.3,,,11.1,,1015.8,
Davis,2023-01-14,11.4,8.0,14.0,32.9,,,18.2,,1005.8,
Davis,2023-01-15,8.9,7.0,12.0,9.7,,,12.5,,1005.8,
Davis,2023-01-16,9.2,5.0,13.0,9.5,,,10.5,,1004.6,
Davis,2023-01-17,6.8,3.0,13.0,0.0,,,5.5,,1016.2,
Davis,2023-01-18,6.2,0.0,11.0,8.7,,,8.7,,1021.0,
Davis,2023-01-19,7.6,4.0,11.0,0.2,,,13.8,,1023.2,
Davis,2023-01-20,7.2,3.0,12.0,0.0,,,15.1,,1026.7,
Davis,2023-01-21,4.8,0.0,12.0,0.0,,,1.8,,1029.2,
Davis,2023-01-22,7.7,2.0,13.0,0.0,,,17.9,,1023.3,
Davis,2023-01-23,9.9,5.0,15.0,0.0,,,22.5,,1021.5,
Davis,2023-01-24,7.0,1.6,13.9,0.0,,,6.5,,1027.8,
Davis,2023-01-25,10.1,0.0,19.0,0.0,,,12.8,,1028.4,
Davis,2023-01-26,11.8,7.0,17.0,0.0,,,5.9,,1029.8,
Davis,2023-01-27,7.9,0.0,14.0,0.0,,,0.0,,1022.7,
Davis,2023-01-28,8.9,3.0,15.0,0.0,,,4.2,,1015.5,
Davis,2023-01-29,6.3,4.0,8.0,4.7,,,12.1,,1011.5,
Davis,2023-01-30,6.8,3.0,12.0,0.0,,,26.3,,1018.9,
Davis,2023-01-31,7.4,4.0,12.0,0.0,,,7.9,,1022.3,
Davis,2023-02-01,5.1,0.0,12.0,0.0,,,3.0,,1023.9,
Davis,2023-02-02,6.7,1.4,12.0,0.0,,,4.2,,1024.9,
Davis,2023-02-03,8.8,4.0,12.0,5.4,,,2.0,,1023.9,
Davis,2023-02-04,9.1,4.0,12.0,7.7,,,8.5,,1019.2,
Davis,2023-02-05,10.0,7.0,13.0,1.1,,,10.7,,1022.1,
Davis,2023-02-06,9.8,5.0,15.0,0.0,,,14.6,,1028.4,
Davis,2023-02-07,8.2,2.0,14.0,0.0,,,1.6,,1028.1,
Davis,2023-02-08,8.3,2.0,17.0,0.0,,,1.6,,1027.9,
Davis,2023-02-09,9.2,3.0,17.0,0.0,,,3.1,,1025.7,
Davis,2023-02-10,8.8,2.7,17.0,0.0,,,10.3,,1020.8,
Davis,2023-02-11,8.6,5.0,14.0,2.2,,,11.4,,1015.5,
Davis,2023-02-12,13.5,4.0,22.0,0.0,,,17.2,,1014.1,
Davis,2023-02-13,11.1,3.0,19.0,0.0,,,8.7,,1012.0,
Davis,2023-02-14,8.6,6.0,12.0,0.8,,,15.5,,1017.0,
Davis,2023-02-15,7.8,2.0,14.0,0.0,,,15.8,,1024.0,
Davis,2023-02-16,5.5,0.0,13.0,0.0,,,3.2,,1024.8,
Davis,2023-02-17,8.5,3.0,16.0,0.0,,,10.1,,1020.3,
Davis,2023-02-18,7.0,0.0,15.6,0.0,,,4.5,,1018.9,
Davis,2023-02-19,9.1,1.0,17.0,0.0,,,6.8,,1019.0,
Davis,2023-02-20,10.5,3.0,19.0,0.0,,,1.4,,1020.1,
Davis,2023-02-21,10.0,6.0,18.0,0.0,,,14.6,,1008.2,
Davis,2023-02-22,6.2,0.0,12.0,0.3,,,8.3,,1006.9,
Davis,2023-02-23,5.2,0.0,8.8,2.7,,,18.7,,1009.1,
Davis,2023-02-24,5.5,4.0,8.0,18.7,,,22.6,,1007.0,
Davis,2023-02-25,5.2,4.0,8.0,7.3,,,10.0,,1012.7,
Davis,2023-02-26,6.9,4.0,10.0,6.3,,,17.8,,1015.8,
Davis,2023-02-27,5.2,2.7,8.7,15.2,,,16.1,,1013.5,
Davis,2023-02-28,6.1,3.0,10.0,9.2,,,16.9,,1011.1,
Davis,2023-03-01,6.6,1.0,12.0,0.0,,,20.6,,1012.8,
Davis,2023-03-02,8.6,4.0,14.0,0.0,,,11.5,,1020.0,
Davis,2023-03-03,8.6,2.0,14.0,0.0,,,8.6,,1017.1,
Davis,2023-03-04,7.8,5.0,10.0,2.6,,,19.9,,1011.0,
Davis,2023-03-05,7.1,4.0,12.0,8.4,,,13.0,,1014.5,
Davis,2023-03-06,6.3,3.0,10.0,4.9,,,9.6,,1021.2,
Davis,2023-03-07,7.0,3.0,11.4,1.5,,,11.9,,1021.6,
Davis,2023-03-08,8.4,5.0,12.0,1.9,,,11.2,,1020.4,
Davis,2023-03-09,6.6,2.0,9.0,22.8,,,14.3,,1014.9,
Davis,2023-03-10,11.4,9.0,15.0,7.6,,,15.6,,1009.2,
Davis,2023-03-11,9.6,8.0,11.0,9.0,,,4.0,,1015.4,
Davis,2023-03-12,12.7,11.0,14.0,11.5,,,14.2,,1017.6,
Davis,2023-03-13,14.3,12.0,18.0,9.3,,,13.6,,1017.6,
Davis,2023-03-14,12.9,9.0,17.0,27.9,,,24.0,,1007.0,
Davis,2023-03-15,10.1,4.0,17.0,0.0,,,10.8,,1015.0,
Davis,2023-03-16,10.6,4.1,18.0,0.0,,,7.6,,1017.5,
Davis,2023-03-17,11.5,5.0,19.0,0.0,,,5.4,,1018.4,
Davis,2023-03-18,11.5,5.0,16.0,0.4,,,4.3,,1016.5,
Davis,2023-03-19,11.8,10.0,13.0,11.4,,,13.7,,1010.1,
Davis,2023-03-20,10.5,7.0,14.0,0.0,,,14.0,,1011.6,
Davis,2023-03-21,9.2,8.0,12.0,38.5,,,12.9,,998.6,
Davis,2023-03-22,10.0,8.0,13.0,5.5,,,10.9,,1011.8,
Davis,2023-03-23,10.2,5.0,16.0,0.0,,,8.0,,1022.2,
Davis,2023-03-24,9.2,2.0,14.0,0.0,,,4.9,,1028.8,
Davis,2023-03-25,9.6,5.0,15.0,0.0,,,13.4,,1025.3,
Davis,2023-03-26,8.4,3.0,14.0,0.0,,,8.9,,1024.5,
Davis,2023-03-27,8.4,0.0,16.0,0.0,,,7.2,,1022.2,
Davis,2023-03-28,8.4,5.0,10.0,12.2,,,13.2,,1013.1,
Davis,2023-03-29,7.2,5.0,10.0,18.1,,,11.5,,1010.7,
Davis,2023-03-30,9.3,4.0,15.0,0.0,,,9.2,,1015.3,
Davis,2023-03-31,9.7,4.0,15.0,0.0,,,8.8,,1023.0,
Davis,2023-04-01,11.2,4.0,18.0,0.0,,,5.5,,1022.8,
Davis,2023-04-02,11.8,8.0,17.0,0.0,,,13.7,,1018.7,
Davis,2023-04-03,9.0,2.0,14.0,0.0,,,10.1,,1018.9,
Davis,2023-04-04,8.6,3.0,15.0,0.0,,,9.0,,1022.5,
Davis,2023-04-05,9.2,3.0,16.0,0.0,,,3.5,,1022.5,
Davis,2023-04-06,11.0,4.0,17.0,1.0,,,9.1,,1019.4,
Davis,2023-04-07,11.8,10.0,14.1,3.9,,,12.2,,1017.2,
Davis,2023-04-08,12.6,6.0,19.0,0.0,,,2.6,,1019.6,
Davis,2023-04-09,15.3,8.0,23.0,0.0,,,4.6,,1021.2,
Davis,2023-04-10,16.7,9.0,25.0,0.0,,,6.2,,1017.0,
Davis,2023-04-11,16.4,10.0,24.0,0.0,,,10.2,,1016.6,
Davis,2023-04-12,11.5,5.0,18.0,0.0,,,8.5,,1013.2,
Davis,2023-04-13,13.6,9.0,20.0,0.0,,,21.8,,1011.2,
Davis,2023-04-14,11.7,4.0,19.0,0.0,,,6.1,,1013.9,
Davis,2023-04-15,12.5,4.0,21.0,0.0,,,7.0,,1019.1,
Davis,2023-04-16,12.7,5.8,20.0,0.0,,,12.4,,1018.8,
Davis,2023-04-17,12.2,6.0,17.0,0.0,,,10.6,,1015.2,
