city,date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
Los Angeles,2023-01-01,13.2,10.0,17.0,0.3,,,9.9,,1008.3,
Los Angeles,2023-01-02,12.1,9.0,14.0,5.5,,,7.4,,1015.4,
Los Angeles,2023-01-03,12.9,10.0,15.0,8.4,,,10.8,,1017.8,
Los Angeles,2023-01-04,15.0,13.9,17.0,17.5,,,7.8,,1018.7,
Los Angeles,2023-01-05,13.9,11.0,17.0,11.1,,,9.3,,1018.8,
Los Angeles,2023-01-06,12.1,8.0,18.0,0.0,,,5.6,,1022.7,
Los Angeles,2023-01-07,14.2,10.0,21.0,0.3,,,6.6,,1021.0,
Los Angeles,2023-01-08,14.3,9.0,18.0,0.5,,,5.4,,1021.2,
Los Angeles,2023-01-09,13.3,11.7,15.0,23.7,,,11.5,,1019.5,
Los Angeles,2023-01-10,14.1,12.0,17.0,40.6,,,15.1,,1018.2,
Los Angeles,2023-01-11,12.4,9.0,17.0,0.0,,,8.2,,1023.2,
Los Angeles,2023-01-12,16.1,11.0,22.0,0.0,,,8.0,,1022.0,
Los Angeles,2023-01-13,14.6,11.0,19.0,0.0,,,8.6,,1020.2,
Los Angeles,2023-01-14,12.4,11.1,14.0,63.6,,,9.3,,1013.9,
Los Angeles,2023-01-15,12.7,11.0,16.0,9.0,,,11.8,,1010.6,
Los Angeles,2023-01-16,12.5,9.0,16.0,8.2,,,18.1,,1008.1,
Los Angeles,2023-01-17,11.2,5.5,16.0,0.0,,,13.4,,1013.5,
Los Angeles,2023-01-18,11.2,7.0,16.0,0.0,,,9.0,,1020.8,
Los Angeles,2023-01-19,10.8,6.0,15.0,0.0,,,10.5,,1020.0,
Los Angeles,2023-01-20,10.7,3.4,17.0,0.0,,,11.0,,1022.6,
Los Angeles,2023-01-21,11.2,6.0,17.0,0.0,,,9.9,,1024.9,
Los Angeles,2023-01-22,11.3,6.0,17.0,0.0,,,12.2,,1016.1,
Los Angeles,2023-01-23,13.6,9.0,19.0,0.0,,,12.9,,1017.2,
Los Angeles,2023-01-24,12.1,6.0,19.0,0.0,,,10.6,,1024.8,
Los Angeles,2023-01-25,13.5,7.0,22.0,0.0,,,11.2,,1024.8,
Los Angeles,2023-01-26,13.9,7.0,21.0,0.0,,,13.7,,1026.4,
Los Angeles,2023-01-27,13.5,8.0,21.0,0.0,,,9.3,,1019.9,
Los Angeles,2023-01-28,13.6,9.4,18.0,0.0,,,8.7,,1015.5,
Los Angeles,2023-01-29,12.6,10.0,15.0,5.1,,,9.7,,1013.5,
Los Angeles,2023-01-30,11.6,9.0,16.0,3.8,,,9.5,,1014.4,
Los Angeles,2023-01-31,12.2,6.0,19.0,0.0,,,14.2,,1018.2,
Los Angeles,2023-02-01,12.2,5.0,19.0,0.0,,,12.1,,1021.3,
Los Angeles,2023-02-02,13.2,7.0,21.0,0.0,,,9.5,,1025.4,
Los Angeles,2023-02-03,12.1,6.5,19.5,0.0,,,10.6,,1022.9,
Los Angeles,2023-02-04,14.5,8.0,22.0,0.0,,,10.0,,1021.2,
Los Angeles,2023-02-05,14.3,12.0,18.0,0.2,,,10.5,,1021.8,
Los Angeles,2023-02-06,15.6,11.0,22.0,0.0,,,13.7,,1022.2,
Los Angeles,2023-02-07,14.6,7.8,21.0,0.0,,,11.5,,1023.8,
Los Angeles,2023-02-08,15.1,8.0,23.0,0.0,,,10.8,,1023.4,
Los Angeles,2023-02-09,17.4,9.0,27.0,0.0,,,11.1,,1022.2,
Los Angeles,2023-02-10,17.4,12.0,24.0,0.0,,,10.7,,1019.1,
Los Angeles,2023-02-11,13.1,10.0,16.0,0.0,,,14.5,,1013.5,
Los Angeles,2023-02-12,11.5,8.0,16.0,0.1,,,10.3,,1012.6,
Los Angeles,2023-02-13,13.4,9.0,17.0,0.0,,,11.0,,1014.1,
Los Angeles,2023-02-14,12.9,9.0,16.0,0.2,,,12.6,,1012.6,
Los Angeles,2023-02-15,11.6,7.0,17.0,0.0,,,13.5,,1020.4,
Los Angeles,2023-02-16,11.4,5.0,17.0,0.0,,,11.5,,1023.6,
Los Angeles,2023-02-17,13.2,8.0,19.0,0.0,,,10.5,,1017.2,
Los Angeles,2023-02-18,13.8,9.0,20.0,0.0,,,9.8,,1016.6,
Los Angeles,2023-02-19,13.4,8.0,20.0,0.0,,,9.8,,1017.8,
Los Angeles,2023-02-20,15.6,10.0,23.0,0.0,,,9.4,,1017.6,
Los Angeles,2023-02-21,14.0,10.0,18.0,0.0,,,12.5,,1009.2,
Los Angeles,2023-02-22,10.4,8.0,13.0,0.2,,,13.8,,1010.2,
Los Angeles,2023-02-23,9.1,8.0,12.0,5.2,,,13.8,,1016.1,
Los Angeles,2023-02-24,10.6,7.8,13.0,41.2,,,13.5,,1014.8,
Los Angeles,2023-02-25,8.1,7.0,9.4,27.6,,,8.6,,1013.4,
Los Angeles,2023-02-26,9.0,4.0,13.0,0.2,,,8.5,,1020.4,
Los Angeles,2023-02-27,10.0,8.0,12.0,12.9,,,11.5,,1020.7,
Los Angeles,2023-02-28,11.2,8.0,14.0,5.2,,,10.9,,1017.0,
Los Angeles,2023-03-01,10.9,9.0,13.0,8.6,,,14.1,,1009.5,
Los Angeles,2023-03-02,11.8,7.0,17.0,0.0,,,9.9,,1018.0,
Los Angeles,2023-03-03,11.5,7.0,17.0,0.0,,,8.4,,1015.9,
Los Angeles,2023-03-04,11.8,8.0,16.0,0.1,,,10.9,,1015.8,
Los Angeles,2023-03-05,11.9,9.0,15.0,0.6,,,9.8,,1019.4,
Los Angeles,2023-03-06,12.4,9.0,16.0,0.2,,,9.4,,1020.8,
Los Angeles,2023-03-07,12.1,8.0,17.0,0.0,,,9.1,,1020.2,
Los Angeles,2023-03-08,12.1,9.0,16.0,0.2,,,10.2,,1020.6,
Los Angeles,2023-03-09,14.2,9.0,19.0,0.0,,,8.6,,1019.5,
Los Angeles,2023-03-10,13.0,11.0,14.0,28.9,,,8.0,,1018.2,
Los Angeles,2023-03-11,15.4,13.9,18.0,2.3,,,8.8,,1018.3,
Los Angeles,2023-03-12,14.7,13.0,18.0,0.0,,,10.5,,1020.2,
Los Angeles,2023-03-13,14.6,13.0,19.0,0.0,,,9.1,,1019.9,
Los Angeles,2023-03-14,14.2,13.0,15.0,44.4,,,9.2,,1017.2,
Los Angeles,2023-03-15,14.1,12.1,16.0,29.0,,,12.0,,1014.0,
Los Angeles,2023-03-16,13.1,10.5,16.1,0.2,,,7.7,,1017.3,
Los Angeles,2023-03-17,13.8,9.0,19.0,0.0,,,8.6,,1017.0,
Los Angeles,2023-03-18,17.5,11.0,25.0,0.0,,,9.6,,1016.7,
Los Angeles,2023-03-19,15.2,12.0,18.0,2.3,,,8.9,,1015.2,
Los Angeles,2023-03-20,14.1,12.2,16.1,0.2,,,6.7,,1013.5,
Los Angeles,2023-03-21,11.6,9.0,16.0,53.5,,,16.2,,1007.7,
Los Angeles,2023-03-22,11.3,9.0,15.0,11.5,,,9.2,,1017.0,
Los Angeles,2023-03-23,13.2,11.0,16.0,0.8,,,9.7,,1022.5,
Los Angeles,2023-03-24,15.1,12.0,19.0,0.0,,,11.2,,1022.7,
Los Angeles,2023-03-25,13.9,9.0,18.0,0.0,,,15.8,,1019.2,
Los Angeles,2023-03-26,15.1,11.0,19.0,0.0,,,12.2,,1019.3,
Los Angeles,2023-03-27,16.0,9.0,23.0,0.0,,,10.5,,1020.2,
Los Angeles,2023-03-28,15.6,11.0,22.0,0.0,,,11.0,,1018.0,
Los Angeles,2023-03-29,12.0,9.0,16.0,19.9,,,10.2,,1014.2,
Los Angeles,2023-03-30,11.2,8.0,16.0,1.4,,,9.2,,1015.3,
Los Angeles,2023-03-31,12.9,8.0,18.0,0.0,,,9.9,,1021.8,
Los Angeles,2023-04-01,14.7,9.0,21.0,0.0,,,8.6,,1020.1,
Los Angeles,2023-04-02,14.9,11.7,20.0,0.0,,,10.4,,1018.1,
Los Angeles,2023-04-03,14.2,12.0,18.0,0.2,,,12.2,,1014.4,
Los Angeles,2023-04-04,13.4,9.0,17.0,0.0,,,14.2,,1019.3,
Los Angeles,2023-04-05,14.8,9.0,20.0,0.0,,,11.5,,1019.5,
Los Angeles,2023-04-06,16.7,12.0,23.0,0.0,,,10.2,,1017.6,
Los Angeles,2023-04-07,16.5,13.0,22.0,0.0,,,10.1,,1017.3,
Los Angeles,2023-04-08,15.5,12.0,21.0,0.0,,,10.9,,1018.3,
Los Angeles,2023-04-09,15.9,13.0,21.0,0.0,,,7.2,,1019.0,
Los Angeles,2023-04-10,15.3,12.0,23.0,0.0,,,5.8,,1017.4,
Los Angeles,2023-04-11,15.1,12.8,20.0,0.0,,,8.1,,1015.8,
Los Angeles,2023-04-12,14.5,13.0,17.0,0.0,,,9.7,,1011.9,
Los Angeles,2023-04-13,13.5,12.0,15.0,0.0,,,8.6,,1010.3,
Los Angeles,2023-04-14,14.3,11.7,18.0,0.0,,,8.7,,1014.3,
Los Angeles,2023-04-15,15.2,11.0,21.0,0.0,,,8.2,,1019.0,
Los Angeles,2023-04-16,14.2,11.0,18.0,0.0,,,8.8,,1018.7,
Los Angeles,2023-04-17,14.8,11.4,18.7,0.0,,,11.1,,1015.0,
Los Angeles,2023-04-18,15.3,13.0,19.0,0.2,,,10.7,,1015.3,
Los Angeles,2023-04-19,16.1,12.0,22.0,0.0,,,14.9,,1017.1,
Los Angeles,2023-04-20,19.5,12.0,28.0,0.0,,,12.1,,1019.5,
Los Angeles,2023-04-21,23.2,16.0,31.0,0.0,,,11.6,,1017.9,
Los Angeles,2023-04-22,21.8,17.0,29.0,0.0,,,10.3,,1011.3,
Los Angeles,2023-04-23,18.2,15.0,23.0,0.0,,,9.5,,1010.0,
Los Angeles,2023-04-24,17.5,15.0,22.0,0.0,,,10.2,,1012.4,
Los Angeles,2023-04-25,17.6,15.0,21.0,0.0,,,9.1,,1013.0,
Los Angeles,2023-04-26,16.7,13.9,22.0,0.0,,,7.2,,1014.7,
Los Angeles,2023-04-27,16.1,13.0,21.0,0.0,,,8.4,,1014.2,
Los Angeles,2023-04-28,15.7,13.0,20.0,0.0,,,8.3,,1015.2,
Los Angeles,2023-04-29,16.1,13.0,23.0,0.0,,,8.8,,1016.2,
Los Angeles,2023-04-30,16.1,14.0,19.0,0.0,,,7.1,,1013.2,
Los Angeles,2023-05-01,15.4,13.0,19.0,0.0,,,13.2,,1011.2,
Los Angeles,2023-05-02,14.5,12.0,18.0,0.2,,,12.9,,1013.1,
Los Angeles,2023-05-03,14.5,10.0,18.0,0.7,,,8.0,,1012.8,
